chain_id,name
14237,Rebel Hotel Company
14238,Extended Stay America Select Suites
14246,Star Entertainment
14248,Tay Hotels
14249,Via Inn Hotels
14251,Affiliated by Melia
14252,Falcons Resorts by Melia
14254,Katathani
14255,Estivel
14258,Stonegate Pub
14259,Sotetsu Hotels The Splaisir
14261,Edge by Rotana
14262,Rare Finds Hotels & Resorts
14263,The Cloud One
14292,Extended Stay America Premier Suites
14293,Extended Stay America
14295,TERRESENS VACANCES
14297,Grupo Brisas
14300,Ekman Hotels
14301,Kloeg Collection
14302,Rio Hotel Group
14303,Signia by Hilton
14304,Tempo by Hilton
14305,NYX Hotels by Leonardo Hotels
14307,Garda FeWo
14310,Armas Hotels
14311,NH Hotels 
14315,Orso Hotels
14322,Handwritten Collection
14323,AluaSun
14324,AluaSoul
14326,Minor Hotel Group
14328,First Hotels Non branded
14334,Vienna House by Wyndham
14335,Imperial Hotel Group
14339,Sea Resorts Hotels
14340,Ninety-Six Hotel Collection
14342,ONDA
14347,Ayre Hoteles
14348,Only You Hoteles
14349,S Hotels & Resorts
14353,TUI BLUE
14354,TUI Magic Life
14356,Pure Salt Luxury Hotels
14357,Borealis Hotel Group
14360,Heritage Resorts
14361,Veranda Resorts
14362,Kaz'alala Hosted B&B
14363,Voila Hotel
14364,ZEL
1197,Valentin Hotels
1224,Fosshotel
1308,Bensaude Hotels Collection
1567,Centerhotels
1706,SEETELHOTELS
1840,Geovita
1862, Precise Hotels & Resorts
1967,Residhotel
2031,Sowell
2062,Centrepoints
2094,Palace Resorts
2260,Maybourne Hotel Group
2403,the b hotels
2488,Focus Hotels
2523, Bourbon HotÃ©is e Resorts
2946,Be Cordial Hotels & Resorts
2959,Jadran Hotels & Camps
3225,Serenata Hotels & Resorts
3531,NOVASOL
3687,Landal Greenparks
3850,ESTIVAL GROUP HOTELS
4052,Optima Hotels & Resorts
4216,Eurotours
4393,Hoseasons
4487,Hplus Hotelaria
4631,Cottages.com
4649,Italianway
4666,VVF Villages
5330,Adriagate
5343,Hosteeva
5761,Adriatic.hr
5858,James Villa Holidays
5914,VacancÃ©ole
6017,Zostel
6582,JD Wetherspoon PLC
7892,Muong Thanh Hospitality
8273,Siblu
8763,Neemrana Hotels
9650,CFI Hotels Group
9773,MHB Hotelaria
10257,Your.Rentals
11117,All Suites
11230,Camplus
11272,Metropolo
12184,Thema Collection
12343,Jeevawasa
12642,Guestready
13016,Costa del Sol
13072,Dobry Hotel
13073,Arche
14355,Robinson Club
14406,Loge
14407,Columbia
14429,Moustache Hostels
14431,MeliÃ¡ Hotels International
14496,HRH Group of Hotels
14498,Hotele Diament
14499,TUI non branded
14500,Sarovar (Louvre)
14501,Sunday
14503,Dream by Hyatt
14506,Oakwood.
14509,Cape & Kantary Hotels
14510,Futura Club
14514,Aspira Hotels and Resorts
14518,Relo Hotelsï¼Resorts
14529,City Express by Marriott
14532,Umbral
14533,The Shilla
14538,HUSWELL
14539,Avani
14542,"MOD, A Sonesta Collection"
14557,Up Hoteles
14560,Impressions by Secrets
14562,Lamin Hotels
14564,Spark by Hilton
14565,Ross Hotels Group
14566,Eklo
14567,Hotel Mi
14568,ICON Hotel
14569,SMARTments
14571,The Hosteller
14572,Sonder
14573,OMO
14574,BEB
14575,Kai
14576,Risonare
14577,HOSHINOYA
14578,IQ Hospitality
14579,Acora
14580,Yggotel
14582,Bohemian Hostels & Hotels
14585,Preference
14586,Shilla Monogram
14587,Mad Monkey Hostels
14588,Dijiwa Sanctuaries
14589,AQI
14593,Radisson Americas
14594,Park Inn by Radisson Americas
14598,Powered by Archipelago
14599,Emma Villas
14603,Maestro Hotels
14604,Country Inn & Suites by Radisson Americas
14605,Park Plaza Hotels & Resorts Americas
14606,Radisson Blu Americas
14607,Radisson Individuals Americas
14608,Radisson Red Americas
14620,Oakwood
14621,GÃ¶bel Hotels
14624,Ini Vie
14630,JR-EAST HOTELS
14631,Lavana by RedDoorz
14632,Sans by RedDoorz
14633,LovelyStay
14635,the hoxton
14637,Baglioni Hotel
14638,Room007
14645,Affitti Brevi Italia
14646,Adagio Premium
14647,Orient Express
14648,HIPARK
14650,Garner
14651,BYPILLOW
14653,Four Points Express
14654,Banyan Tree
14657,Wonderful Italy
14658,QC Terme
14659,Young & Co.âs Brewery
14662,The Unlimited Collection
14663,by First Hotels
14665,Prague Days
14666,Harry's Home Holding AG
14669,Gregori Hotels
14670,Charlie
14673,Travelbook Hotels
14676,Cocotel Hotels & Resorts
14680,Alpin Rentals GmbH
14681,Artotel Brand
14682,LyvInn Hotels
14683,New World Hotel & Resorts
14688,SIRO
14689,Alpha-One
14691,Apartments by Marriott Bonvoy
14692,Sowell Hotels et rÃ©sidences
