city_id,country,district_id,latitude,longitude,name,nr_hotels
1456928,fr,1,48.8630297608954,2.3399184771677,1st arr.,261
1456928,fr,2,48.8678666848111,2.3460338586984,2nd arr.,456
1456928,fr,3,48.8636984639797,2.35878774408308,3rd arr.,347
1456928,fr,4,48.8559790852484,2.35704187008135,4th arr.,226
1456928,fr,5,48.8460372161442,2.34851572198992,5th arr.,242
1456928,fr,6,48.850997493369,2.3336970161001,6th arr.,253
1456928,fr,7,48.8563427247633,2.31065842819369,7th arr.,216
1456928,fr,8,48.8723475011558,2.31069235512611,8th arr.,420
1456928,fr,9,48.8764856234716,2.33567546482719,9th arr.,379
1456928,fr,10,48.874824310019,2.35920436143531,10th arr.,368
1456928,fr,11,48.8595256480553,2.37771903216842,11th arr.,360
1456928,fr,12,48.8443653444985,2.38556280531803,12th arr.,207
1456928,fr,13,48.8294246470196,2.35854091356233,13th arr.,161
1456928,fr,14,48.8319944066354,2.32479578382463,14th arr.,213
1456928,fr,15,48.8434875810464,2.29620294563328,15th arr.,433
1456928,fr,16,48.86060865897,2.28024300440956,16th arr.,371
1456928,fr,17,48.8847578517485,2.30794403658633,17th arr.,338
1456928,fr,18,48.8887070486857,2.34248648951515,18th arr.,356
1456928,fr,19,48.8837568742594,2.3820234079455,19th arr.,144
1456928,fr,20,48.8645651855121,2.39690393560193,20th arr.,137
2601889,gb,28,51.5103537482226,-0.147894734240998,Mayfair,123
2601889,gb,29,51.4953794967602,-0.18942994896256,Kensington,401
2601889,gb,30,51.488789509957,-0.172184589719212,Chelsea,217
2601889,gb,31,51.512739553862,-0.124460609326958,Covent Garden,108
2601889,gb,32,51.5106345952216,-0.151472023452807,Westminster Borough,1468
2601889,gb,33,51.5053073073331,-0.129795893630004,St James,173
2601889,gb,34,51.5195078230056,-0.158655371041278,Marylebone,265
2601889,gb,35,51.4991773369322,-0.164266762764565,Knightsbridge,49
2601889,gb,36,51.4964062552244,-0.153617100136585,Belgravia,35
2601889,gb,37,51.4850580897923,0.0291237895477883,Greenwich,177
2601889,gb,38,51.5113330983582,-0.0764455739725129,Tower Hill,52
2601889,gb,39,51.5133991544725,-0.134643088734166,Soho,97
2601889,gb,41,51.4440281000743,-0.15210429202627,Balham,32
2601889,gb,42,51.5139083336788,-0.186979287957427,Bayswater,285
2601889,gb,43,51.5162428165688,-0.175101785411815,Paddington,137
2601889,gb,44,51.5092237398566,-0.168761247956132,Hyde Park,359
2601889,gb,45,51.5132817514725,-0.203518994226862,Notting Hill,108
2601889,gb,46,51.5027656522476,-0.200942524012191,Holland Park,32
2601889,gb,47,51.5141172014248,-0.0903643798162881,City of London,152
2601889,gb,48,51.4998376149225,-0.016346136496238,Canary Wharf and Docklands,136
2601889,gb,50,51.5114040138407,-0.26374589835549,Acton,74
2601889,gb,51,51.4920383598486,0.118136082370007,Abbey Wood,9
2601889,gb,52,51.4102011446715,-0.0619985426170392,Anerley,1
2601889,gb,54,51.5227910590653,-0.12464312069317,Bloomsbury,155
2601889,gb,55,51.4670207316833,-0.0347216907583136,Brockley,19
2601889,gb,56,51.4653560685991,0.00744988189769154,Blackheath,5
2601889,gb,57,51.5258816298703,-0.0489820205618074,Bethnal Green,23
2601889,gb,58,51.4962956496521,-0.0727735292793201,Bermondsey,87
2601889,gb,59,51.4695910466624,-0.233253769666386,Barnes,23
2601889,gb,61,51.4758218066635,-0.160758281613252,Battersea,97
2601889,gb,62,51.4604238329374,-0.113803323618984,Brixton,48
2601889,gb,63,51.4746861567883,-0.0913057351206618,Camberwell,39
2601889,gb,64,51.5395741748127,-0.147212995351764,Camden Town,38
2601889,gb,66,51.4628038577876,-0.153047796635088,Clapham,61
2601889,gb,67,51.4906491828929,-0.263330434776617,Chiswick,28
2601889,gb,68,51.4864588496398,0.0376863605170595,Charlton,21
2601889,gb,70,51.5565936938319,-0.0532996248471097,Clapton,49
2601889,gb,71,51.4474107831075,-0.0783386633833157,Dulwich,7
2601889,gb,72,51.4831813392611,-0.0270346964350346,Deptford,60
2601889,gb,74,51.5120781742004,-0.27847498872575,Ealing,136
2601889,gb,75,51.4920357723063,-0.193443775983919,Earls Court,112
2601889,gb,79,51.5196904987638,-0.137421424411359,Fitzrovia,126
2601889,gb,80,51.4398846737884,-0.0507750714462667,Forest Hill,6
2601889,gb,81,51.6136748125043,-0.141619821818687,Friern Barnet,1
2601889,gb,82,51.4764743358075,-0.198165344859988,Fulham,148
2601889,gb,83,51.5751090497072,-0.201348467590426,Golders Green,54
2601889,gb,84,51.5425816679781,-0.073346762881993,Hackney,261
2601889,gb,85,51.4933097314325,-0.217942855211756,Hammersmith,166
2601889,gb,86,51.5498098024047,-0.174348661748783,Hampstead,98
2601889,gb,90,51.4564206668882,-0.0971854183537188,Herne Hill,6
2601889,gb,91,51.5572086488425,-0.101537697815094,Highbury,32
2601889,gb,92,51.571999844948,-0.141026770750546,Highgate,18
2601889,gb,96,51.5415492559223,-0.107137678873569,Islington,352
2601889,gb,97,51.530786766719,-0.176226316689951,St Johns Wood,69
2601889,gb,102,51.5291333737446,-0.123717254923931,Kings Cross St Pancras,154
2601889,gb,103,51.4742090210529,-0.120177704817654,Lambeth,354
2601889,gb,104,51.4507855919906,0.0111798098911573,Lee,5
2601889,gb,105,51.4636492978527,-0.0259474209151541,Lewisham,141
2601889,gb,107,51.5292531408042,-0.187949823895713,Maida Vale,40
2601889,gb,109,51.4689283045064,-0.267978632822312,Mortlake,12
2601889,gb,110,51.5944744719669,-0.146160386603944,Muswell Hill,16
