region_id,name,country,region_type
879,"Tripura, East",in,other
880,Mizoram,in,province
881,Manipur,in,province
882,Nagaland,in,province
883,"Assam, East",in,other
884,Arunachal Pradesh,in,province
885,"Gujarat, Central",in,other
886,"Bhopal, Central",in,other
887,Chhattisgarh,in,province
888,"Orissa, Central",in,other
889,"Maharashtra, Central",in,other
890,Goa South (deleted),in,other
891,"Karnataka, South",in,other
892,"Andhra Pradesh, South",in,other
893,"Mahe, South",in,other
894,"Kerala, South",in,other
895,"Tamilnadu, South",in,other
897,Calabria,it,province
898,Campania,it,province
899,Emilia-Romagna,it,province
900,Friuli Venezia Giulia,it,province
902,Lazio,it,province
903,Liguria,it,province
904,Lombardy,it,province
905,Marche,it,province
906,Piedmont,it,province
907,Apulia,it,province
908,Sardinia,it,province
909,Sicily,it,province
910,Tuscany,it,province
911,Trentino Alto Adige,it,province
912,Umbria,it,province
913,Valle d'Aosta,it,province
914,Veneto,it,province
922,Koto/Edogawa Ku,jp,other
925,Tohoku,jp,free_region
932,Kanto,jp,free_region
940,Koshinetsu,jp,free_region
947,Tokai,jp,free_region
952,Kinki,jp,free_region
959,Chugoku,jp,free_region
965,Shikoku,jp,free_region
970,Kyushu,jp,free_region
981,Gozo,mt,island
991,Johor,my,province
992,Kedah,my,province
994,Melaka,my,province
995,Pahang,my,province
996,Penang,my,province
998,Sabah,my,province
999,Sarawak,my,province
1000,Selangor,my,province
1002,Terengganu,my,province
1003,Drenthe,nl,province
1004,Flevoland,nl,province
1005,Friesland,nl,province
1006,Gelderland,nl,province
1007,Groningen Province,nl,province
1008,Limburg,nl,province
1009,Noord-Brabant,nl,province
1010,Noord-Holland,nl,province
1011,Overijssel,nl,province
1012,Utrecht Province,nl,province
1013,Zeeland,nl,province
1014,Zuid-Holland,nl,province
1015,Ameland,nl,island
1016,Dutch Coast,nl,free_region
1017,Het Gooi,nl,free_region
1018,Frisian lakes,nl,free_region
1019,IJsselmeer,nl,free_region
1020,Schiermonnikoog,nl,island
1021,Schouwen-Duiveland,nl,free_region
1022,Terschelling,nl,island
1023,Texel,nl,island
1024,Twente,nl,free_region
1025,Veluwe,nl,free_region
1026,Vlieland,nl,island
1027,West Frisian Islands,nl,free_region
1028,Walcheren,nl,free_region
1029,Zeeuws-Vlaanderen,nl,free_region
1041,Akershus,no,free_region
1042,Aust-Agder,no,free_region
1043,Buskerud,no,free_region
1044,Hordaland,no,free_region
1045,Nordland,no,province
1046,Oppland,no,free_region
1047,Oslo County,no,province
1048,Rogaland,no,province
1049,Sogn og Fjordane,no,free_region
1050,Telemark,no,free_region
1051,Vest-Agder,no,free_region
1053,"Gorkha, Nepal",np,other
1056,"Lalitpur, Nepal",np,other
1058,North Island,nz,free_region
1059,South Island,nz,free_region
1060,Lima,pe,other
1061,Luzon,ph,province
1062,Visayas,ph,province
1063,Mindanao,ph,province
1064,Algarve,pt,province
1073,Dalarna,se,province
1075,Stockholm county,se,province
1076,Uppland,se,free_region
1077,Thailand,th,other
1082,Hammamet Bay,tn,other
1083,Aegean Region,tr,province
1084,Black Sea Region,tr,province
1085,Central Anatolia Region,tr,province
1086,East Anatolia Region,tr,province
1087,Marmara Region,tr,province
1088,Mediterranean Region Turkey,tr,province
1089,South Eastern Anatolia Region,tr,province
1093,Channel Islands,gb,free_region
1095,Cumbria,gb,province
1098,Dorset,gb,province
1100,Lothian,gb,province
1101,Essex,gb,province
1103,Hampshire,gb,province
1106,Isle of Wight,gb,island
1107,Kent,gb,province
1108,Lancashire,gb,province
1114,Northern Ireland,gb,free_region
1115,Northumberland,gb,province
1116,Oxfordshire,gb,province
1117,Scotland,gb,free_region
1123,Surrey,gb,province
1124,Sussex Historic County,gb,free_region
1126,Glamorgan,gb,province
1127,Wales,gb,free_region
1128,Warwickshire,gb,province
1131,Worcestershire,gb,province
1136,Florida,us,province
1155,Washington State,us,province
1161,Eastern Cape,za,province
1165,Northern Cape,za,province
1169,Western Cape,za,province
1170,TEST REGION HAN 1,None,other
1188,PieterPad,nl,other
1189,Berlin Federal State,de,province
1190,Burgenland,at,province
1191,Carinthia,at,province
1193,Upper Austria,at,province
1194,Salzburg,at,province
1195,Vorarlberg,at,province
1196,Vienna (state),at,province
1197,Autoroute Paris - Nantes (A11),fr,other
1198,South Limburg,nl,free_region
1199,The Alps,si,other
1200,Canillo,ad,other
1201,Andorra la Vella,ad,other
1202,Encamp,ad,other
1203,Escaldes-Engordany,ad,other
1204,La Massana,ad,other
1205,Ordino,ad,other
1206,Sant JuliÃ  de LÃ²ria,ad,province
1209,Abu Dhabi Emirate,ae,other
1212,CuraÃ§ao,cw,other
1214,Antigua,ag,island
1215,Aruba,aw,other
1216,Barbados Island,bb,other
1217,Sofia Province ,bg,province
1218,Varna Province,bg,province
1219,Blagoevgrad Province ,bg,province
1220,Brunei-Muara,bn,province
1221,Beijing Area,cn,province
1229,Montevideo,uy,province
1231,Colonia del Sacramento,uy,other
1232,Punta del Este,uy,other
1235,Grisons,ch,province
1239,Lake Lucerne,ch,free_region
1240,Lake Neuchatel,ch,free_region
1241,Alajuela,cr,province
1242,Limon,cr,province
1243,San JosÃ©,cr,province
1244,Guanacaste,cr,province
1245,CamagÃ¼ey Province,cu,province
1246,Ciego de Ãvila Province,cu,province
1247,Cienfuegos,cu,province
1248,Isla de la Juventud,cu,province
1249,Las Tunas Province,cu,province
1250,Matanzas,cu,province
1251,Santiago de Cuba Province,cu,province
1252,Villa Clara,cu,province
1253,Ciudad de La Habana Province,cu,province
1254,HolguÃ­n Province,cu,province
1255,Sancti SpÃ­ritus,cu,province
1256,Cyprus Island,cy,other
1257,Cyprus Government controlled area,cy,other
1262,Sumava mountains,cz,free_region
1264,Santo Domingo Province,do,province
1265,Puerto Plata Province,do,province
1266,Tungurahua,ec,province
1267,Guayas,ec,province
1269,Red Sea Governorate,eg,province
1270,Harjumaa,ee,province
1271,Saint George Parish,gd,province
1272,Saint Andrew Parish,gd,province
1273,Basse-Terre,gp,province
1274,Saint BarthÃ©lemy,gp,province
1275,Grande-Terre,gp,province
1277,Meath,ie,province
1278,Portland,jm,province
1279,Saint James,jm,province
1280,Westmoreland,jm,province
1281,Saint Mary,jm,province
1282,Trelawny,jm,province
1284,Luang Prabang,la,province
1285,Vientiane,la,province
1286,Castries,lc,province
1287,Clervaux,lu,province
1288,Diekirch,lu,province
1289,Echternach,lu,province
1290,Esch-sur-Alzette,lu,province
1291,Luxembourg,lu,other
1292,Mersch,lu,province
1293,Remich,lu,province
1294,Vianden,lu,province
1295,Wiltz,lu,province
1296,Fort-de-France,mq,province
1297,Le Marin,mq,province
1299,South Eastern Malta,mt,other
1302,Arequipa,pe,province
1303,Cusco,pe,province
1304,Piura,pe,province
1305,Madre de Dios,pe,province
1306,Lower Silesia,pl,province
1307,Lesser Poland,pl,province
1308,Pomerania,pl,province
1309,Greater Poland,pl,province
1310,Masovia,pl,province
1312,Taipei Area,tw,province
1315,Changhua County,tw,province
1316,Taoyuan Municipality,tw,province
1317,Tobago,tt,island
1318,Trinidad,tt,island
1319,Port of Spain Province,tt,province
1320,Sousse,tn,other
1321,Tawzar,tn,other
1323,Singapore,sg,other
1324,Paramaribo,sr,other
1325,AsunciÃ³n,py,province
1326,Cordillera,py,province
1328,Halland,se,province
1329,Kalmar county,se,province
1331,ÃstergÃ¶tland,se,province
1332,SkÃ¥ne,se,province
1333,Sodermanland,se,province
1334,VÃ¤rmland,se,province
1335,VÃ¤stra GÃ¶taland,se,province
1336,Vastmanland,se,province
1337,SmÃ¥land,se,free_region
1340,Phnom Penh Municipality,kh,province
1341,Siem Reap Province,kh,province
1342,CÃ³rdoba Province,ar,province
1343,Misiones,ar,province
1344,ParaÃ­ba,br,province
1345,GoiÃ¡s,br,province
1346,PiauÃ­,br,province
1347,MaranhÃ£o,br,province
1348,Antofagasta Region,cl,province
1349,TarapacÃ¡,cl,province
1350,BÃ­o BÃ­o,cl,province
1351,Atacama,cl,province
1352,Coquimbo Region,cl,province
1353,Los Lagos,cl,province
1354,Magallanes,cl,province
1356,AraucanÃ­a,cl,province
1357,ValparaÃ­so Region,cl,province
1358,Ãrhus,dk,other
1359,Copenhagen,dk,other
1360,SÃ¸nderjylland,dk,free_region
1361,Vejle,dk,other
1362,Albacete Province,es,free_region
1363,Almeria Province,es,free_region
1364,A CoruÃ±a,es,free_region
1366,Val de Marne,fr,free_region
1367,Puy-de-DÃ´me,fr,free_region
1370,Evia,gr,province
1371,Thesprotia,gr,free_region
1372,Hong Kong,hk,other
1373,Lantau Island,hk,free_region
1374,Riau Kepulauan,id,other
1379,Western Australia,au,province
1380,South Australia,au,province
1381,Australian Capital Territory,au,province
1382,Autoroute Luxembourg - Nice,lu,other
1383,Corsica,fr,province
1386,Costa del Garraf,es,free_region
1387,Costa Brava,es,free_region
1388,Costa del Maresme,es,free_region
1389,Costa Dorada,es,free_region
1390,Azahar Coast,es,free_region
1391,Valencia Coast,es,free_region
1392,Costa Blanca,es,free_region
1393,Costa CÃ¡lida,es,free_region
1394,Basque Coast,fr,free_region
1395,Cantabria Coast,es,free_region
1396,Costa Verde (Asturias),es,free_region
1397,Altas Estuary,es,free_region
1398,Artabro Gulf,es,free_region
1399,Costa de la Muerte,es,free_region
1400,Bajas Estuary,es,free_region
1401,Costa de la Luz,es,free_region
1402,Costa del Sol,es,free_region
1403,Costa Tropical,es,free_region
1404,Almeria Coast,es,free_region
1405,La Palma Island,es,island
1406,Formentera,es,island
